"year","category","name","team","games","desc.","source"
1977,"Substance abuse",NA,NA,0,NA,NA
1977,"Personal conduct",NA,NA,0,NA,NA
1977,"In-game violence",NA,NA,0,NA,NA
1978,"PEDs",NA,NA,0,NA,NA
1978,"Substance abuse",NA,NA,0,NA,NA
1978,"Personal conduct",NA,NA,0,NA,NA
1978,"In-game violence",NA,NA,0,NA,NA
1979,"PEDs",NA,NA,0,NA,NA
1979,"Substance abuse",NA,NA,0,NA,NA
1979,"Personal conduct",NA,NA,0,NA,NA
1979,"In-game violence",NA,NA,0,NA,NA
1980,"PEDs",NA,NA,0,NA,NA
1980,"Substance abuse",NA,NA,0,NA,NA
1980,"Personal conduct",NA,NA,0,NA,NA
1980,"In-game violence",NA,NA,0,NA,NA
1981,"PEDs",NA,NA,0,NA,NA
1981,"Substance abuse",NA,NA,0,NA,NA
1981,"Personal conduct",NA,NA,0,NA,NA
1981,"In-game violence",NA,NA,0,NA,NA
1982,"PEDs",NA,NA,0,NA,NA
1982,"Substance abuse",NA,NA,0,NA,NA
1982,"Personal conduct",NA,NA,0,NA,NA
1982,"In-game violence",NA,NA,0,NA,NA
1983,"PEDs",NA,NA,0,NA,NA
1983,"Substance abuse",NA,NA,0,NA,NA
1983,"Personal conduct","A. Schlichter","IND",16,"Gambling-related","http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock"
1983,"In-game violence",NA,NA,0,NA,NA
1984,"PEDs",NA,NA,0,NA,NA
1984,"Substance abuse",NA,NA,0,NA,NA
1984,"Personal conduct",NA,NA,0,NA,NA
1984,"In-game violence",NA,NA,0,NA,NA
1985,"PEDs",NA,NA,0,NA,NA
1985,"Substance abuse",NA,NA,0,NA,NA
1985,"Personal conduct",NA,NA,0,NA,NA
1985,"In-game violence",NA,NA,0,NA,NA
1986,"PEDs",NA,NA,0,NA,NA
1986,"Substance abuse",NA,NA,0,NA,NA
1986,"Personal conduct",NA,NA,0,NA,NA
1986,"In-game violence","C. Martin","GB",2,"Illegal hit","http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock"
1987,"PEDs",NA,NA,0,NA,NA
1987,"Substance abuse",NA,NA,0,NA,NA
1987,"Personal conduct",NA,NA,0,NA,NA
1987,"In-game violence",NA,NA,0,NA,NA
1988,"PEDs",NA,NA,0,NA,NA
1988,"Substance abuse",NA,NA,0,NA,NA
1988,"Personal conduct",NA,NA,0,NA,NA
1988,"In-game violence",NA,NA,0,NA,NA
1989,"PEDs","V. Kirk","STL",4,NA,"http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends"
1989,"PEDs","M. Mraz","LA",3,NA,"http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends"
1989,"PEDs","M. Douglass","DET",4,NA,"http://www.utsandiego.com/uniontrib/20080921/news_1s21nfl89.html"
1989,"PEDs","K. Uecker","GB",4,NA,"http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html"
1989,"PEDs","R. Putzier","SF",4,NA,"http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends"
1989,"PEDs","S. Doctor","BUF",4,NA,"http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html"
1989,"PEDs","R. Solt","PHI",4,NA,"http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html"
1989,"PEDs","V. Amoia","NO",3,NA,"http://www.nytimes.com/1989/08/30/sports/two-suspended-jets-are-out-of-a-job.html"
1989,"PEDs","M. Ariey","GB",4,NA,"http://www.utsandiego.com/uniontrib/20080921/news_1s21nfl89.html"
1989,"PEDs","T. Burse","SEA",4,NA,"http://articles.chicagotribune.com/1989-08-30/sports/8901090097_1_steroid-drug-policy-league-spokesman-joe-browne"
1989,"PEDs","M. Jaworski","BUF",4,NA,"http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html"
1989,"PEDs","K. Henderson","SF",4,NA,"http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html"
1989,"PEDs","T. Doctor","BUF",4,NA,"http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html"
1989,"PEDs","B. Riley","NYJ",3,NA,"http://www.nytimes.com/1989/08/30/sports/two-suspended-jets-are-out-of-a-job.html"
1989,"Substance abuse","O. Mobley","DEN",4,NA,"http://articles.chicagotribune.com/1989-08-30/sports/8901090097_1_steroid-drug-policy-league-spokesman-joe-browne"
1989,"Substance abuse","L. Irvin","LA",3,"Marijuana-related","http://articles.latimes.com/1989-08-30/sports/sp-1280_1_leroy-irvin"
1989,"Personal conduct",NA,NA,0,NA,NA
1989,"In-game violence",NA,NA,0,NA,NA
1990,"PEDs","L. Cheek","DAL",3,NA,"http://www.nytimes.com/1990/08/17/sports/drug-suspension-for-bax-of-bucs.html"
1990,"PEDs","B. Sochia","MIA",5,NA,"http://articles.sun-sentinel.com/1990-08-24/sports/9002100425_1_alfred-oglesby-shula-brian-sochia"
1990,"PEDs","J. Brandom","ARI",3,NA,"http://articles.latimes.com/1990-08-14/sports/sp-693_1_offensive-linemen"
1990,"Substance abuse",NA,NA,0,NA,NA
1990,"Personal conduct",NA,NA,0,NA,NA
1990,"In-game violence",NA,NA,0,NA,NA
1991,"PEDs",NA,NA,0,NA,NA
1991,"Substance abuse",NA,NA,0,NA,NA
1991,"Personal conduct",NA,NA,0,NA,NA
1991,"In-game violence",NA,NA,0,NA,NA
1992,"PEDs",NA,NA,0,NA,NA
1992,"Substance abuse",NA,NA,0,NA,NA
1992,"Personal conduct",NA,NA,0,NA,NA
1992,"In-game violence",NA,NA,0,NA,NA
1993,"PEDs","E. Moore","NYG",4,NA,"http://www.nytimes.com/1993/07/30/sports/pro-football-giants-moore-faces-ban-by-nfl.html"
1993,"Substance abuse",NA,NA,0,NA,NA
1993,"Personal conduct",NA,NA,0,NA,NA
1993,"In-game violence",NA,NA,0,NA,NA
1994,"PEDs","F. Wycheck","WAS",4,NA,"http://articles.philly.com/1994-11-30/sports/25868967_1_frank-wycheck-steroids-nfl-policy"
1994,"Substance abuse",NA,NA,0,NA,NA
1994,"Personal conduct",NA,NA,0,NA,NA
1994,"In-game violence",NA,NA,0,NA,NA
1995,"PEDs","J. Steed","PIT",4,NA,"http://articles.chicagotribune.com/1995-10-24/sports/9510240320_1_nose-tackle-joel-steed-bernard-williams-nfl"
1995,"Substance abuse",NA,NA,0,NA,NA
1995,"Personal conduct",NA,NA,0,NA,NA
1995,"In-game violence",NA,NA,0,NA,NA
1996,"PEDs",NA,NA,0,NA,NA
1996,"Substance abuse",NA,NA,0,NA,NA
1996,"Personal conduct",NA,NA,0,NA,NA
1996,"In-game violence",NA,NA,0,NA,NA
1997,"PEDs","M. Stevens","PHI",4,NA,"http://articles.philly.com/2014-07-02/sports/51005838_1_lane-johnson-groveton-linebacker-jake-knott"
1997,"PEDs","S. Davis","ARI",4,NA,"http://www.apnewsarchive.com/1997/Falcons-guard-Scott-Davis-suspended-by-NFL-for-steroid-abuse/id-1e82e1a0780f24c6559a167118382f28"
1997,"PEDs","A. Ulmer","MIN",4,NA,"http://www.apnewsarchive.com/1997/Vikings-rookie-suspended-for-steroid-use/id-6fa45c120b20b6e4d035442c8a62da30"
1997,"Substance abuse",NA,NA,0,NA,NA
1997,"Personal conduct",NA,NA,0,NA,NA
1997,"In-game violence",NA,NA,0,NA,NA
1998,"PEDs","J. Waddy","GB",4,NA,"http://a.espncdn.com/nfl/columns/pasquarelli_len/1403350.html"
1998,"PEDs","P. Wiggins","PIT",4,NA,"http://alb.merlinone.net/mweb/wmsql.wm.request?oneimage&imageid=5942417"
1998,"Substance abuse",NA,NA,0,NA,NA
1998,"Personal conduct",NA,NA,0,NA,NA
1998,"In-game violence",NA,NA,0,NA,NA
1999,"PEDs","L. West","NYG",4,NA,"http://static.espn.go.com/nfl/news/1999/1201/205894.html"
1999,"PEDs","T. Jervey","SF",4,NA,"http://www.sfgate.com/sports/article/49ers-Notebook-Jervey-Suspended-for-Steroid-Use-2901850.php"
1999,"PEDs","J. Miller","CHI",4,NA,"http://www.nytimes.com/1999/12/02/sports/pro-football-bears-lose-miller-to-steroid-suspension.html"
1999,"PEDs","H. Taylor","CHI",4,NA,"http://www.nytimes.com/2001/10/07/sports/pro-football-notebook-nfl-is-seeing-fewer-flaws-in-testing-players-for-drugs.html"
1999,"Substance abuse","J. Ferguson","NYJ",4,NA,"http://sports.espn.go.com/nfl/news/story?id=4973457"
1999,"Personal conduct",NA,NA,0,NA,NA
1999,"In-game violence",NA,NA,0,NA,NA
2000,"PEDs",NA,NA,0,NA,NA
2000,"Substance abuse",NA,NA,0,NA,NA
2000,"Personal conduct",NA,NA,0,NA,NA
2000,"In-game violence",NA,NA,0,NA,NA
2001,"PEDs","T. Bennett","DET",4,NA,"http://articles.latimes.com/2001/dec/15/sports/sp-15083"
2001,"PEDs","S. Springs","SEA",4,NA,"http://articles.philly.com/2001-11-28/sports/25320203_1_seahawks-springs-lamar-chapman-browns-president-carmen-policy"
2001,"Substance abuse",NA,NA,0,NA,NA
2001,"Personal conduct",NA,NA,0,NA,NA
2001,"In-game violence",NA,NA,0,NA,NA
2002,"PEDs","T.J. Slaughter","JAX",4,NA,"http://articles.orlandosentinel.com/2002-09-07/sports/0209070474_1_slaughter-coleman-tennessee-titans"
2002,"PEDs","D. Graham","HOU",4,NA,"http://www.nytimes.com/2002/12/19/sports/nfl-texans-lineman-suspended.html"
2002,"PEDs","J. Peppers","CAR",4,NA,"http://www.nytimes.com/2002/12/04/sports/pro-football-peppers-to-serve-four-game-suspension.html"
2002,"PEDs","L. Bush","KC",4,NA,"http://a.espncdn.com/nfl/columns/pasquarelli_len/1457788.html"
2002,"PEDs","D. Shelton","CHI",4,NA,"http://www.nytimes.com/2001/10/07/sports/pro-football-notebook-nfl-is-seeing-fewer-flaws-in-testing-players-for-drugs.html"
2002,"PEDs","R. Buchanan","JAX",4,NA,"http://a.espncdn.com/nfl/news/2002/0911/1430323.html"
2002,"Substance abuse",NA,NA,0,NA,NA
2002,"Personal conduct","V. Riley","KC",1,"Domestic violence","http://a.espncdn.com/nfl/news/2003/0703/1576427.html"
2002,"In-game violence",NA,NA,0,NA,NA
2003,"PEDs","M. Cloud","KC",4,NA,"http://a.espncdn.com/nfl/columns/pasquarelli_len/1529903.html"
2003,"PEDs","K. Newman","ATL",4,NA,"http://sports.espn.go.com/espn/wire?id=1606334"
2003,"PEDs","B. Chamberlain","MIN",4,NA,"http://a.espncdn.com/nfl/news/2003/0711/1579603.html"
2003,"PEDs","B. Buckner","CAR",4,NA,"http://a.espncdn.com/nfl/columns/pasquarelli_len/1455668.html"
2003,"PEDs","S. Shanle","STL",4,NA,"http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html"
2003,"Substance abuse","W. Green","CLE",4,"Marijuana-related","http://sports.espn.go.com/nfl/news/story?id=1665738"
2003,"Personal conduct","D. Carswell","DEN",1,"Domestic violence","http://a.espncdn.com/nfl/news/2003/0703/1576427.html"
2003,"Personal conduct","D. Rodgers","MIA",1,"Domestic violence","http://articles.sun-sentinel.com/2002-07-19/sports/0207190115_1_derrick-rodgers-kareff-rodgers-william-peguero"
2003,"Personal conduct","J. Cooper","CAR",4,"DUI arrest, drugs","http://www.usatoday.com/sports/nfl/arrests/all/car/all/"
2003,"In-game violence",NA,NA,0,NA,NA
2004,"PEDs","A. Pinnock","SD",4,NA,"http://www.utsandiego.com/news/2004/Nov/10/chargers-fullback-andrew-pinnock-suspended-for/"
2004,"PEDs","D. Boston","MIA",4,NA,"http://sports.espn.go.com/nfl/news/story?id=1939250"
2004,"PEDs","L. Flowers","DEN",4,NA,"http://sports.espn.go.com/nfl/news/story?id=1585992"
2004,"Substance abuse",NA,NA,0,NA,NA
2004,"Personal conduct","P. Zukauskas","CLE",1,"DUI (acquitted)","http://www.usatoday.com/sports/nfl/arrests/"
2004,"Personal conduct","M. Pittman","TB",3,"Domestic violence","http://sports.espn.go.com/nfl/news/story?id=1826233"
2004,"In-game violence",NA,NA,0,NA,NA
2005,"PEDs","A. Madise","DEN",4,NA,"http://sports.espn.go.com/nfl/news/story?id=1974527"
2005,"PEDs","J. Welbourn","KC",4,NA,"http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2150559"
2005,"PEDs","R. Razzano","TB",4,NA,"http://sports.espn.go.com/espn/wire?section=nfl&id=2163692"
2005,"Substance abuse","R. Williams","MIA",4,NA,"http://sports.espn.go.com/nfl/news/story?id=2421774"
2005,"Personal conduct","E. Warfield","KC",4,"DUI arrest, multiple","http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2106473"
2005,"Personal conduct","B. Hopkins","TEN",1,"Domestic violence","http://sports.espn.go.com/nfl/columns/story?columnist=pasquarelli_len&id=2138940"
2005,"In-game violence",NA,NA,0,NA,NA
2006,"PEDs","H. Thomas","NO",4,NA,"http://sports.espn.go.com/nfl/news/story?id=2687451"
2006,"PEDs","S. Morris","MIA",4,NA,"http://sports.espn.go.com/nfl/news/story?id=2568282"
2006,"PEDs","S. Rogers","DET",4,NA,"http://sports.espn.go.com/nfl/news/story?id=2630061"
2006,"PEDs","M. Lehr","ATL",4,NA,"http://sports.espn.go.com/nfl/news/story?id=2629991"
2006,"PEDs","S. Merriman","SD",4,NA,"http://sports.espn.go.com/nfl/news/story?id=2635475"
2006,"PEDs","T. Sauerbrun","DEN",4,NA,"http://sports.espn.go.com/nfl/news/story?id=2512355"
2006,"Substance abuse",NA,NA,0,NA,NA
2006,"Personal conduct","T. Johnson","BAL",8,"Arrest, possession of weapon","http://profootballtalk.nbcsports.com/2014/06/24/artist-formerly-known-as-tank-johnson-friends-with-roger-goodell/"
2006,"Personal conduct","R. Manning","CHI",1,"Felony arrest charges","http://sports.espn.go.com/nfl/news/story?id=2672378"
2006,"In-game violence","A. Haynesworth","TEN",5,"Stomping on player","http://sports.espn.go.com/nfl/news/story?id=2610577"
2007,"PEDs","M. Stroud","JAX",4,NA,"http://sports.espn.go.com/nfl/news/story?id=3088185"
2007,"PEDs","C. Henry","TEN",4,NA,"http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html"
2007,"PEDs","R. Edwards","MIN",4,NA,"http://www.twincities.com/ci_7641964?source=rss"
2007,"PEDs","K. Lang","DEN",6,NA,"http://www.nytimes.com/2007/10/05/sports/football/05nfl.html"
2007,"PEDs","T. Couch","JAX",6,NA,"http://www.nytimes.com/2007/10/05/sports/football/05nfl.html"
2007,"PEDs","J. Cooper","OAK",4,NA,"http://sports.espn.go.com/nfl/news/story?id=2949591"
2007,"PEDs","O. Ayanbadejo","CHI",4,NA,"http://sports.espn.go.com/nfl/news/story?id=2967677"
2007,"PEDs","K. Peterson","DEN",4,NA,"http://www.denverpost.com/ci_6314165"
2007,"PEDs","R. Tucker","CLE",4,NA,"http://www.nfl.com/news/story/09000d5d8012fe77/article/browns-offensive-lineman-ryan-tucker-suspended-4-games-for-violating-nfl-steroid-policy"
2007,"Substance abuse","R. Harrison","NE",4,NA,"http://sports.espn.go.com/nfl/news/story?id=2999994"
2007,"Personal conduct","M. Vick","ATL",2,"Dogfighting","http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock"
2007,"Personal conduct","C. Henry","CIN",8,"Multiple arrests","http://sports.espn.go.com/nfl/news/story?id=2832015"
2007,"Personal conduct","D. Rhodes","CAR",1,"Reckless driving","http://sports.espn.go.com/nfl/news/story?id=2925395"
2007,"Personal conduct","A. Jones","TEN",20,"Multiple arrests","http://sports.espn.go.com/nfl/news/story?id=2832015"
2007,"Personal conduct","C. Henry","CIN",4,"Mulitple arrests","http://www.nfl.com/news/story/09000d5d80b58799/article/bengals-wr-henry-activated-after-serving-fourgame-suspension"
2007,"Personal conduct","S. Brandon","DEN",2,"Domestic violence","http://www.denverpost.com/broncos/ci_6362668"
2007,"Personal conduct","J. Allen","KC",4,"DUI arrest, multiple","http://sports.espn.go.com/nfl/news/story?id=2851494"
2007,"In-game violence",NA,NA,0,NA,NA
2008,"PEDs","L. Petitgout","TB",4,NA,"http://tbo.com/sports/sports/2008/aug/20/sp-petitgout-violated-nfl-steroids-policy-ar-136563/"
2008,"PEDs","D. Blackstock","CIN",4,NA,"http://sports.espn.go.com/nfl/news/story?id=3631111"
2008,"PEDs","S. Cooper","SD",4,NA,"http://sports.espn.go.com/nfl/news/story?id=3348671"
2008,"Substance abuse","J. Babineaux","SEA",2,NA,"http://seattletimes.com/html/seahawks/2008148770_webhawk31.html"
2008,"Personal conduct","R. Bernard","SEA",1,"Assault","http://seattletimes.com/html/seahawks/2008148770_webhawk31.html"
2008,"Personal conduct","D. Scott","MIN",3,"Child endangerment","http://sports.espn.go.com/nfl/news/story?id=3487505"
2008,"Personal conduct","F. Washington","OAK",1,"Domestic violence","http://espn.go.com/blog/baltimore-ravens/post/_/id/10593/what-punishment-should-ray-rice-expect"
2008,"Personal conduct","L. Johnson","KC",1,"Simple assault for spitting drink in a woman's face","http://sports.espn.go.com/nfl/news/story?id=3675871"
2008,"Personal conduct","B. McKinnie","MIN",4,"Accused of disorderly conduct, resisting arrest","http://sports.espn.go.com/nfl/news/story?id=3560135"
2008,"In-game violence",NA,NA,0,NA,NA
2009,"PEDs","C. Pace","NYJ",4,NA,"http://sports.espn.go.com/nfl/news/story?id=4303126"
2009,"PEDs","L. Lawton","OAK",4,NA,"http://sports.espn.go.com/nfl/news/story?id=4771154"
2009,"PEDs","D. Bowe","KC",4,NA,"http://sports.espn.go.com/nfl/news/story?id=4663877"
2009,"PEDs","J. Hanson","PHI",4,NA,"http://sports.espn.go.com/nfl/news/story?id=4645055"
2009,"Substance abuse","T. Jackson","TB",4,NA,"http://www.nfl.com/news/story/0ap2000000364087/article/tanard-jackson-suspended-Indefiniteinitely-by-nfl"
2009,"Personal conduct","M. Lynch","BUF",3,"Misdemeanour gun charge","http://sports.espn.go.com/nfl/news/story?id=4054396"
2009,"Personal conduct","A. Talib","TB",1,"Simple battery, resisting arrest","http://www.denverpost.com/broncos/ci_25352579/broncos-cornerback-aqib-talib-comes-denver-plenty-baggage"
2009,"Personal conduct","M. Jones","JAX",3,"Arrest, cocaine possession","http://sports.espn.go.com/nfl/news/story?id=4207106"
2009,"Personal conduct","D. Stallworth","NE",16,"DUI manslaughter","http://espn.go.com/blog/nflnation/tag/_/name/frank-filchock"
2009,"Personal conduct","M. Boley","NYG",1,"Domestic violence","http://sports.espn.go.com/nfl/news/story?id=4311313"
2009,"In-game violence",NA,NA,0,NA,NA
2010,"PEDs","B. Cushing","HOU",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5172060"
2010,"PEDs","S. Gregory","NYJ",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5648428"
2010,"PEDs","R. James","ATL",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5364259"
2010,"PEDs","E. Gant","CIN",4,NA,"http://blog.azcardinals.com/2010/06/21/gant-suspended-four-games/"
2010,"PEDs","G. McRath","TEN",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5285379"
2010,"PEDs","B. Spikes","NE",4,NA,"http://sports.espn.go.com/boston/nfl/news/story?id=5906897"
2010,"PEDs","A. Odom","CIN",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5687593"
2010,"Substance abuse","D. Robinson","CAR",4,NA,"http://sports.espn.go.com/nfl/news/story?id=5906973"
2010,"Substance abuse","L. White","FREE",4,NA,"http://www.nfl.com/news/story/09000d5d818ee863/article/nfl-reveals-fourgame-ban-for-white-eightgamer-for-thomas"
2010,"Substance abuse","S. Holmes","NYJ",4,NA,"http://sports.espn.go.com/new-york/nfl/news/story?id=5077088"
2010,"Substance abuse","S. Nelson","BUF",4,NA,"http://www.buffalobills.com/news/article-3/TE-Nelson-suspended-for-first-four-games/b4507a26-f7ac-4bf9-9cf7-c47b2f079781"
2010,"Personal conduct","C. Williams","BAL",2,"Domestic violence","http://sports.espn.go.com/nfl/news/story?id=5401102"
2010,"Personal conduct","J. Babineaux","ATL",1,"Accused of battery and resisting arrest","http://usatoday30.usatoday.com/sports/football/nfl/falcons/2010-08-03-jonathan-babineaux_N.htm"
2010,"Personal conduct","M. Purify","CIN",1,"Disorderly conduct","http://espn.go.com/blog/afcnorth/post/_/id/16670/bengals-wr-purify-suspended-one-game"
2010,"Personal conduct","T. McDaniel","TB",1,"Domestic violence","http://sports.espn.go.com/nfl/news/story?id=5622330"
2010,"Personal conduct","V. Jackson","SD",3,"DUI arrest","http://sports.espn.go.com/nfl/news/story?id=5345629"
2010,"Personal conduct","Q. Ojinnaka","ATL",1,"Domestic violence","http://sports.espn.go.com/nfl/news/story?id=5249193"
2010,"In-game violence",NA,NA,0,NA,NA
2011,"PEDs","A. Hall","TEN",4,NA,"http://espn.go.com/nfl/story/_/id/6927311/tennessee-titans-ahmard-hall-suspended-4-games-nfl"
2011,"PEDs","P. Williams","MIN",2,NA,"http://espn.go.com/nfl/story/_/id/6922853/nfl-suspends-minnesota-vikings-kevin-williams-three-others-two-games"
2011,"PEDs","J. Kennedy","NYG",4,NA,"http://espn.go.com/new-york/nfl/story/_/id/7089792/new-york-giants-dt-jimmy-kennedy-suspended-nfl"
2011,"PEDs","J. Moffitt","CLE",4,NA,"http://seattletimes.com/html/seahawksblog/2016949836_seahawksrookiejohnmoffittsuspendedforperformanceenhancingdrugs.html"
