Id,Action
1,0.4835131398588084
2,0.49383665661728704
3,0.4917900921150563
4,0.5084926559445572
5,0.4905296847926737
6,0.5469317026606269
7,0.4879210448538178
8,0.5348149600698481
9,0.45923594381934224
10,0.49390119833134855
11,0.49450982053423503
12,0.49068740784159837
13,0.4890720195994715
14,0.48920713313630476
15,0.4940438945928108
16,0.49722979153987357
17,0.48925001737536195
18,0.4940577031977225
19,0.49604977842712533
20,0.4428074696660991
21,0.49399872813508416
22,0.5661021407193478
23,0.5043019842353643
24,0.49403232192607427
25,0.490648868253025
26,0.7713633071298825
27,0.4809433239838917
28,0.4911388769291383
29,0.4876039238293167
30,0.4841991016220655
31,0.4907262413740283
32,0.5015232055288065
33,0.4920878216389901
34,0.48791991800247286
35,0.4908023222929328
36,0.5042543602671397
37,0.5022060042465663
38,0.5572297718267641
39,0.48393431606860127
40,0.4861567186683874
41,0.4570155521188423
42,0.5525003320516734
43,0.4840526250355921
44,0.4907253647239614
45,0.49386175592894505
46,0.5626806586593124
47,0.5071103893119812
48,0.48390379777251
49,0.4918117331549309
50,0.2465219571521769
51,0.5625083679165738
52,0.49080791006300323
53,0.4906734067482451
54,0.5252211784477427
55,0.491552583475742
56,0.4835131398588084
57,0.4907253647239614
58,0.49370866874110203
59,0.48592985477315653
60,0.4947773951452138
61,0.4929651804859957
62,0.4912742041354849
63,0.48317661711036847
64,0.5089288254184235
65,0.49330576506198043
66,0.594400892054805
67,0.25744550519264764
68,0.5201065143983666
69,0.4940647831514998
70,0.483914398721443
71,0.4424446032232023
72,0.49329434869183514
73,0.4893331828836587
74,0.49070687232403465
75,0.4943276309436616
76,0.5309205949171727
77,0.491317081202291
78,0.5019881519711553
79,0.5050685585377308
80,0.5656337909937077
81,0.5174361256455031
82,0.4938502467678051
83,0.5343033461739087
84,0.49403757160956474
85,0.4897346061060989
86,0.4835131398588084
87,0.49027404848178907
88,0.49756065749874234
89,0.505489529315812
90,0.4962774829988402
91,0.5018682820697254
92,0.5022712454706927
93,0.536675077454341
94,0.49394191193539405
95,0.4939847763136483
96,0.4892381992140104
97,0.49385726890570736
98,0.48632045345269487
99,0.5244661415237419
100,0.4931971017649536
101,0.4975467039964518
102,0.5926979074714143
103,0.49406104495240655
104,0.459231774877253
105,0.4975296412207693
106,0.5121707918978163
107,0.5259563789326763
108,0.49397918746299935
109,0.4878958508168031
110,0.49404305346883615
111,0.4938646592421205
112,0.47144410628648553
113,0.4939533985337087
114,0.4977448957264011
115,0.49068298623071516
116,0.49100952753812277
117,0.4906849136472938
118,0.4906639628041094
119,0.49348943028340236
120,0.4880739317820212
121,0.5049098752550297
